Model,RMSE,MAE,R²
Traditional CF: User-User,0.17241423272749376,0.03299114138633898,0.9488549628431899
Traditional CF: Item-Item,0.37663645730100165,0.19725357854321351,0.755936978727219
Matrix Factorization: SVD (SGD),0.5167649088956398,0.3605870227037624,0.5405446626266414
Baseline (Global Mean),0.7623868674066366,0.6535416651275808,-1.8614825859852857e-05
Matrix Factorization: NMF,0.762851985433275,0.6533999658968577,-0.0012391724906979373
Matrix Factorization: TruncatedSVD,0.8679368494691337,0.7140752551166133,-0.2960851226439871
