Model,RMSE,MAE,R²
LR: Content only,4.277124187581317e-15,2.6766525054357602e-15,1.0
RF: Content only,0.0004578976126206509,0.00011910641675360262,0.9999996468812526
LR: Hybrid (CF + Content),0.12103961846012735,0.02191984457300579,0.975326025655895
RF: Hybrid (CF + Content),0.1338352693534995,0.02397793182951332,0.9698334828913793
Pure CF: User-User,0.18155942769019054,0.03287976685950388,0.944483557725764
LR: CF only,0.18155942769019054,0.03287976685950674,0.944483557725764
RF: CF only,0.18156218782228176,0.03301711752963425,0.9444818697508611
Pure CF: Item-Item,0.3820357877815433,0.1991250008060385,0.7541942076172267
Baseline (Global Mean),0.7705680141133501,0.661137027530093,-1.3751499789105281e-05
